timestamp,seed,concurrency,gpu_memory,p50_ms,p90_ms,p95_ms,p99_ms,avg_ms,min_ms,max_ms,throughput_tok_s,total_tokens,total_time_s,successful_requests,failed_requests,total_requests,completion_rate,status,crash_reason,crash_time_s,startup_time_s,memory_max_mb,memory_mean_mb
2025-12-11T05:44:10.533992,42,1,0.75,810.7381754998642,822.5408623000476,822.9245477998575,824.5363734698868,813.6795486599794,806.7343790003179,837.0319030000246,157.29851782312207,12800,81.373939037323,100,0,100,1.0,SUCCESS,,,26.06438183784485,74383.0,74382.08769448374
2025-12-11T05:46:09.608217,43,1,0.75,813.9580545000626,824.8235214001397,825.5080337999061,831.0056446800945,817.5625220200345,810.5053899998893,836.8130520002524,156.5519017428314,12800,81.76202178001404,100,0,100,1.0,SUCCESS,,,26.06395721435547,74383.0,74382.14064697608
2025-12-11T05:48:08.925231,44,1,0.75,815.944097000056,827.5367347997872,828.1083584497537,831.471548940176,819.4600417799984,813.4727970000313,840.2037390001169,156.18903702728784,12800,81.95197463035583,100,0,100,1.0,SUCCESS,,,26.06446123123169,74386.0,74383.92296918767
2025-12-11T05:49:28.880091,42,2,0.75,849.3876224999894,864.2685877001895,865.4675000497264,872.1928696603482,853.0143009600262,844.5333740000933,872.943849999956,300.0609163928768,12800,42.65800476074219,100,0,100,1.0,SUCCESS,,,26.063072681427002,74385.0,74384.11051212938
2025-12-11T05:50:49.082984,43,2,0.75,858.3204755002498,866.9299136000973,867.725570200264,876.919580730364,856.0014321100198,847.772716000236,882.6185879997865,299.0138136049066,12800,42.80738687515259,100,0,100,1.0,SUCCESS,,,26.06370210647583,74388.0,74386.76675603217
2025-12-11T05:52:09.041067,44,2,0.75,851.3720020000619,861.9762866998371,863.1301133002125,881.7146460999038,851.2526581500107,842.6417180003227,887.4428949998219,300.68193193203706,12800,42.56990075111389,100,0,100,1.0,SUCCESS,,,26.063705921173096,74388.0,74386.7628032345
2025-12-11T05:53:08.254222,42,4,0.75,874.8635295000895,893.8047968000319,901.9803581502401,913.7334302301497,874.9840510600095,857.5076729998727,914.076686000044,584.8849479106078,12800,21.88464593887329,100,0,100,1.0,SUCCESS,,,26.063432455062866,74385.0,74384.34554973822
2025-12-11T05:54:09.494233,43,4,0.75,873.8613615000759,885.6757405996632,890.3026571002783,898.6563640896793,873.5605146900026,854.9071399997956,898.7163669999063,585.8070540970242,12800,21.850197792053223,100,0,100,1.0,SUCCESS,,,28.06700038909912,74388.0,74387.12041884816
2025-12-11T05:55:08.938120,44,4,0.75,884.1642949998914,899.3415717997777,910.5887165498643,915.435930319918,884.8551885900041,864.3151539999963,915.8859169997413,578.2669869664549,12800,22.135104179382324,100,0,100,1.0,SUCCESS,,,26.063830375671387,74385.0,74383.55440414508
2025-12-11T05:55:58.286984,42,8,0.75,920.4813470000772,962.2259768996628,967.196053050111,967.2932758100933,924.7965167800156,879.9827400002869,967.4093840003479,1066.7403801886696,12800,11.999170780181885,100,0,100,1.0,SUCCESS,,,26.06500244140625,74388.0,74387.80952380953
2025-12-11T05:56:47.633069,43,8,0.75,922.6227565000045,941.123303600034,947.0424581999396,948.4166682596424,924.724033390007,902.8199200001836,948.5927159998937,1066.3996835070477,12800,12.003004312515259,100,0,100,1.0,SUCCESS,,,26.063085556030273,74386.0,74384.95238095238
2025-12-11T05:57:36.975287,44,8,0.75,919.5960275001198,956.569796399981,981.1074285001041,986.693540150145,923.1439742199926,875.6940640005269,987.06074599977,1068.3725255657148,12800,11.980839729309082,100,0,100,1.0,SUCCESS,,,26.06356906890869,74382.0,74381.80952380953
2025-12-11T06:16:02.217043,42,16,0.8,1030.7960030004324,1086.0441952998372,1087.696866799979,1087.904025920252,1032.572720540029,911.4716690000932,1087.9176799999186,1798.8575680620847,12800,7.115627288818359,100,0,100,1.0,SUCCESS,,,26.064417600631714,79254.0,79253.26984126984
2025-12-11T06:16:46.608090,43,16,0.8,1031.8729900004655,1045.876632099953,1047.017684749244,1048.9907650798978,1023.4754630099541,875.1187500001834,1049.0079990004233,1813.9363131613632,12800,7.056477069854736,100,0,100,1.0,SUCCESS,,,26.063966751098633,79249.0,79248.66129032258
2025-12-11T06:17:31.008219,44,16,0.8,1030.50441600044,1080.7049500007452,1081.420030749814,1082.4807945803605,1023.1523457000184,879.8392149992651,1082.9500129993903,1815.6525849188238,12800,7.049806833267212,100,0,100,1.0,SUCCESS,,,26.06407642364502,79247.0,79246.64516129032
2025-12-11T06:01:51.307907,42,1,0.8,814.4057009994867,825.1228163997439,825.6822836998253,828.9059340097265,817.6250787800199,812.2174749996702,837.6688210000793,156.5397486613355,12800,81.76836943626404,100,0,100,1.0,SUCCESS,,,26.064399003982544,79252.0,79248.29113924051
2025-12-11T06:03:50.262827,43,1,0.8,812.6564219996908,824.1487762998986,824.7072051994564,826.8843778201791,815.956371329994,809.7499670002435,839.5024050005304,156.8597850419503,12800,81.60153985023499,100,0,100,1.0,SUCCESS,,,26.065483570098877,79252.0,79248.04507042254
2025-12-11T06:05:49.394742,44,1,0.8,813.7736315002257,825.1199116998578,831.025867050721,833.9568989496638,817.5253703600355,810.4403719999027,835.3203220003707,156.5582332854329,12800,81.75871515274048,100,0,100,1.0,SUCCESS,,,26.06322693824768,79247.0,79246.09282700422
2025-12-11T06:07:09.611123,42,2,0.8,852.2494379999443,867.5172835001831,868.2448757496331,876.6569398502088,856.1875566700385,847.6425359995119,876.7571129992575,298.94746304750134,12800,42.816887855529785,100,0,100,1.0,SUCCESS,,,26.064733743667603,79249.0,79248.09946236559
2025-12-11T06:08:29.654872,43,2,0.8,855.2119004998531,863.4926192004059,865.9953199992742,873.9102249707048,852.8551102100026,844.4986489994335,874.0219929995874,300.1164139121719,12800,42.65011644363403,100,0,100,1.0,SUCCESS,,,26.064655303955078,79254.0,79252.25067385445
2025-12-11T06:09:49.516127,44,2,0.8,850.2067824997539,861.3079879995894,864.9845510999967,892.506005280602,850.7747874700088,841.1432269995203,892.5789960003385,300.85028573275576,12800,42.54607892036438,100,0,100,1.0,SUCCESS,,,26.063644647598267,79249.0,79248.18648648649
2025-12-11T06:10:48.967235,42,4,0.8,880.6729975003691,900.0870811999448,911.5305748005085,919.2460483703144,881.8954301100349,863.6571289998756,919.4162659996437,580.2973417039752,12800,22.057657480239868,100,0,100,1.0,SUCCESS,,,26.064115285873413,79254.0,79252.44041450777
2025-12-11T06:11:48.296165,43,4,0.8,877.0613645001504,891.09379490028,895.4157644497627,902.136070880315,877.9571379799745,857.5638249994881,902.2084280004492,582.8741683021195,12800,21.960142850875854,100,0,100,1.0,SUCCESS,,,26.06451106071472,79249.0,79248.21354166667
2025-12-11T06:12:47.745023,44,4,0.8,884.0213980001863,902.237403300569,903.5428555000635,915.4233068002031,884.5036921100656,864.9650770003063,915.477638000084,578.5910468158542,12800,22.122706651687622,100,0,100,1.0,SUCCESS,,,26.06392550468445,79252.0,79251.0932642487
2025-12-11T06:13:39.096940,42,8,0.8,919.3934025001909,965.9882085996287,969.8663325496909,970.1377768700604,925.0981615000003,882.7810490001866,970.161821000147,1065.2235085601567,12800,12.016257524490356,100,0,100,1.0,SUCCESS,,,28.066903829574585,79249.0,79247.88571428572
